timestamp,open,high,low,close,volume
1731528000000,155.544,155.596,155.5,155.59,20822.9707
1731531600000,155.588,155.594,155.429,155.446,9679.6797
1731535200000,155.424,155.456,155.259,155.383,2231.1299
1731538800000,155.383,155.475,155.339,155.416,9843.9199
1731542400000,155.416,155.772,155.404,155.716,28914.2305
1731546000000,155.717,155.918,155.703,155.867,26252.4297
1731549600000,155.867,156.06,155.833,156.004,21235.0391
1731553200000,156.004,156.004,155.811,155.946,20482.6797
1731556800000,155.945,156.133,155.941,156.053,19587
1731560400000,156.053,156.131,155.955,156.018,21053.3691
1731564000000,156.021,156.04,155.816,155.919,21903.7207
1731567600000,155.92,155.958,155.7,155.837,29328.3691
1731571200000,155.836,155.957,155.741,155.945,28812.3809
1731574800000,155.945,156.146,155.931,156.107,30635.9395
1731578400000,156.108,156.24,156.051,156.055,25475.7891
1731582000000,156.054,156.14,155.896,155.921,28694.8203
1731585600000,155.922,156.028,155.858,155.993,24765.4805
1731589200000,155.994,156.193,155.774,156.019,45604.25
1731592800000,156.017,156.025,155.518,155.798,47884.7305
1731596400000,155.798,156.074,155.651,155.952,45123.6914
1731600000000,155.953,156.039,155.715,155.969,29288.3203
1731603600000,155.968,156.038,155.674,155.742,22347.0391
1731607200000,155.742,155.942,155.697,155.892,19347.9609
1731610800000,155.891,155.999,155.849,155.921,19395.0293
1731614400000,155.921,156.415,155.886,156.295,44817
1731618000000,156.296,156.369,156.237,156.243,17181.8301
1731621600000,156.238,156.286,156.2,156.281,770.59
1731625200000,156.272,156.535,156.249,156.481,8687.5498
1731628800000,156.48,156.746,156.433,156.629,14652.7695
1731632400000,156.628,156.644,156.328,156.55,15505.8896
1731636000000,156.549,156.554,156.324,156.391,24724.9707
1731639600000,156.39,156.514,156.272,156.5,20556.4805
1731643200000,156.5,156.548,156.303,156.354,23966.7402
1731646800000,156.354,156.453,156.327,156.453,23923.4395
1731650400000,156.455,156.503,156.035,156.097,28641.9805
1731654000000,156.097,156.171,155.759,155.778,32756.2598
1731657600000,155.777,155.777,155.387,155.516,38388.6289
1731661200000,155.517,155.729,155.262,155.365,37919.9297
1731664800000,155.364,155.458,155.218,155.304,33079.0703
1731668400000,155.304,155.51,155.258,155.493,24491.5
1731672000000,155.493,155.626,155.37,155.392,28181.5801
1731675600000,155.391,155.718,155.15,155.325,55456.6406
